FECHA,TMAX,TMIN,NOMBRE,mes,PROVINCIA,ALTURA,LATITUD,LONGITUD
2025-01-31,27.7,21.6,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-30,27.5,22.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-29,28.0,21.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-28,27.5,22.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-27,28.5,20.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-26,30.3,21.7,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-25,29.5,22.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-24,31.0,22.6,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-23,31.2,24.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-22,32.2,21.9,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-21,28.0,19.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-20,26.5,18.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-19,26.5,20.6,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-18,28.3,22.0,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-17,30.1,22.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-16,33.4,24.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-15,31.8,21.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-14,30.0,21.7,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-13,28.5,22.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-12,27.3,21.1,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-11,27.4,21.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-10,28.2,20.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-09,29.5,20.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-08,27.9,20.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-07,27.0,19.6,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-06,26.1,18.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-05,24.1,18.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-04,26.0,16.3,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-03,28.1,17.2,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-02,31.6,20.0,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-01-01,29.7,22.8,AEROPARQUE AERO,1,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-28,27.4,23.4,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-27,28.0,21.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-26,27.1,21.7,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-25,27.6,22.7,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-24,28.6,21.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-23,30.1,24.2,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-22,29.2,21.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-21,32.0,24.6,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-20,29.7,22.0,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-19,26.5,17.4,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-18,22.7,13.0,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-17,28.5,21.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-16,28.6,21.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-15,26.2,20.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-14,27.3,20.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-13,28.0,20.4,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-12,25.7,20.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-11,32.2,18.2,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-10,36.3,23.0,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-09,29.0,18.1,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-08,30.1,23.6,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-07,28.9,22.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-06,27.5,18.7,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-05,25.5,21.5,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-04,30.9,24.9,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-03,34.3,24.8,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-02,32.8,23.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-02-01,30.5,21.3,AEROPARQUE AERO,2,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-30,28.9,21.4,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-29,25.1,17.8,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-28,26.2,21.1,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-27,26.7,21.3,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-26,24.3,18.3,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-25,24.3,16.8,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-24,24.9,18.6,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
2025-03-23,24.5,18.8,AEROPARQUE AERO,3,CAPITAL FEDERAL,6,-33.45,-57.583333333333336
