Estación,Región,Estacion_norm
AEROPARQUE AERO,Pampa humeda,aeroparque aero
AZUL AERO,Pampa humeda,azul aero
BAHIA BLANCA AERO,Pampa humeda,bahia blanca aero
BARILOCHE AERO,Patagonia,bariloche aero
BASE BELGRANO II,Antartida,base belgrano ii
BASE CARLINI (EX JUBANY),Antartida,base carlini ex jubany
BASE ESPERANZA,Antartida,base esperanza
BASE MARAMBIO,Antartida,base marambio
BASE ORCADAS,Antartida,base orcadas
BASE SAN MARTIN,Antartida,base san martin
BENITO JUAREZ,Pampa humeda,benito juarez
BERNARDO DE IRIGOYEN AERO,Mesopotamia,bernardo de irigoyen aero
BOLIVAR AERO,Pampa humeda,bolivar aero
BUENOS AIRES OBSERVATORIO,Pampa humeda,buenos aires observatorio
CAMPO DE MAYO AERO,Pampa humeda,campo de mayo aero
CATAMARCA AERO,NOA,catamarca aero
CERES AERO,Pampa humeda,ceres aero
CHAPELCO AERO,Patagonia,chapelco aero
CHEPES,NOA,chepes
COMODORO RIVADAVIA AERO,Patagonia,comodoro rivadavia aero
CONCORDIA AERO,Mesopotamia,concordia aero
CORDOBA AERO,Pampa humeda,cordoba aero
CORDOBA OBSERVATORIO,Pampa humeda,cordoba observatorio
CORONEL SUAREZ AERO,Pampa humeda,coronel suarez aero
CORRIENTES AERO,Mesopotamia,corrientes aero
DOLORES AERO,Pampa humeda,dolores aero
EL BOLSON AERO,Patagonia,el bolson aero
EL CALAFATE AERO,Patagonia,el calafate aero
EL PALOMAR AERO,Pampa humeda,el palomar aero
ESQUEL AERO,Patagonia,esquel aero
EZEIZA AERO,Pampa humeda,ezeiza aero
FORMOSA AERO,NEA,formosa aero
GENERAL PICO AERO,Pampa seca,general pico aero
GOBERNADOR GREGORES AERO,Patagonia,gobernador gregores aero
GUALEGUAYCHU AERO,Mesopotamia,gualeguaychu aero
IGUAZU AERO,Mesopotamia,iguazu aero
ITUZAINGO,Pampa humeda,ituzaingo
JACHAL,Cuyo,jachal
JUJUY AERO,NOA,jujuy aero
JUJUY U N,NOA,jujuy u n
JUNIN AERO,Pampa humeda,junin aero
LA PLATA AERO,Pampa humeda,la plata aero
LA QUIACA OBSERVATORIO,NOA,la quiaca observatorio
LA RIOJA AERO,NOA,la rioja aero
LABOULAYE AERO,Pampa seca,laboulaye aero
LAS FLORES,Pampa humeda,las flores
LAS LOMITAS,NEA,las lomitas
MALARGUE AERO,Cuyo,malargue aero
MAQUINCHAO,Patagonia,maquinchao
MAR DEL PLATA AERO,Pampa humeda,mar del plata aero
MARCOS JUAREZ AERO,Pampa humeda,marcos juarez aero
MARIANO MORENO AERO,NOA,mariano moreno aero
MENDOZA AERO,Cuyo,mendoza aero
MENDOZA OBSERVATORIO,Cuyo,mendoza observatorio
MERCEDES AERO (CTES),Mesopotamia,mercedes aero ctes
MERLO AERO,Cuyo,merlo aero
METAN,NOA,metan
MONTE CASEROS AERO,Mesopotamia,monte caseros aero
MORON AERO,Pampa humeda,moron aero
NEUQUEN AERO,Patagonia,neuquen aero
